Name	First_Appearance	Character	Group	Lat	Long
Burnham Harbor, Chicago	Death Masks	Thomas Wraith	NA	41.8605999	-87.6125575
Chicago Botanic Gardens	Cold Days	Summer Lady	NA	42.1490714	-87.7894413
Cook County Hospital, Chicago	Fool Moon	NA	NA	41.872977	-87.6736934
Field Museum of Natural History, Chicago	Dead Beat	NA	NA	41.866261	-87.6169805
Carbon & Carbide Building, Chicago	Skin Game	NA	NA	37.3848299	-94.7601924
Graceland Cemetery, Chicago	Grave Peril	NA	NA	41.9546042	-87.6618116
Hotel Sax, Chicago	Turn Coat	Binder	NA	41.8886169	-87.6288741
Jackson Harbor, Chicago	Cold Days	NA	NA	41.7764122	-87.5724876
Lake Meadows Park, Chicago	Summer Knight	NA	NA	41.8371075	-87.6120735
Marriott Downtown Chicago Magnificent Mile Hotel, Chicago	Death Masks	NA	NA	41.8921331	-87.6245096
Mercy Hospital	Proven Guilty	NA	NA	NA	NA
Saint Mary of the Angels, Chicago	Gravel Peril	NA	church	41.9157294	-87.671629
FBI Chicago Field Office	Changes	NA	NA	41.8657563	-87.679797
Soldier Field, Chicago	Small Favor	NA	NA	41.8623132	-87.6166884
Union Station, Chicago	Small Favor	NA	NA	41.8786447	-87.6404066
Wrigely Field, Chicago	Death Masks	NA	NA	41.9484384	-87.6553327
University of Chicago, Chicago	Fool Moon	NA	NA	41.789522	-87.5928128
Montrose Point Bird Sanctuary, Chicago	Cold Days	NA	NA	41.9631998	-87.6331366
Buttercup Park, Chicago	Side Jobs	NA	NA	41.9721301	-87.6545263
Park Tower, Chicago	White Night	NA	NA	41.8971181	-87.6255019
O'Hare International Airport, Chicago	Death Masks	NA	NA	41.9741625	-87.9073214
McCormick Place, Chicago	Summer Knight	NA	White Council	41.8512195	-87.6170282
North Avenue Beach, Chicago	Dead Beat	NA	NA	41.9148113	-87.6251085
Woodfield Mall, Schaumburg, IL	Side Jobs	NA	NA	42.0452921	-88.0383999
Chichen Itza, Mexico	Changes	NA	Red Court	20.6842849	-88.5677826
Edinburgh, Scotland	NA	NA	White Council	55.953252	-3.188267
Belmont Harbor, Chicago	Skin Game	NA	NA	41.9400652	-87.6374768
Archangel, Russia	NA	NA	White Council	64.5472507	40.5601553
Hog Hollow, Missouri	NA	Ebenezar McCoy	NA	36.8603316	-91.0751291
Dallas, Texas	Small Favor	NA	Paranet	32.7766642	-96.7969879
Poughkeepsie	Turn Coat	NA	Paranet	41.7003713	-73.9209701
Omaha	Turn Coat	NA	Paranet	41.2565369	-95.9345034
Los Angeles, California	White Night	Elaine Mallory	Paranet	34.0522342	-118.2436849
Seattle, WA	Ghost Story	NA	Paranet	47.6062095	-122.3320708
Tacoma, WA	Ghost Story	NA	Paranet	47.2528768	-122.4442906
Mexico City, Mexico	Turn Coat	NA	Paranet	19.4326077	-99.133208
St. Paul, Minnesota	Ghost Story	NA	Paranet	44.9537029	-93.0899578
Boston, Massachusetts	Ghost Story	NA	Paranet	42.3600825	-71.0588801
Montgomery, Alabama	Ghost Story	NA	Paranet	32.3792233	-86.3077368
Ottawa, Canada	Turn Coat	NA	Paranet	45.4215296	-75.6971931
Chicago, IL	White Night	NA	Paranet	41.8781136	-87.6297982
Dodge City, KS	Brief Cases	NA	NA	37.7527982	-100.0170787
Unalaska, Alaska	Brief Cases	NA	Paranet	53.8844382	-166.5332434
Kendall College, Chicago	Dead Beat	NA	NA	41.898896	-87.649023
Mitchell Museum of the American Indian, Evanston	Dead Beat	NA	NA	42.0647365	-87.7180089
New Mexico	White Night	NA	White Council	34.5199402	-105.8700901
Capristi Building, Chicago	Skin Game	John Marcone	NA	41.8788764	-87.6359149
Honduras	Death Masks	Duke Ortega	Red Court	15.199999	-86.241905
Des Moines, Iowa	Ghost Story	Justin DuMorne	NA	41.5868353	-93.6249593
Gold Coast, Chicago	White Night	Thomas Wraith	NA	41.9066994	-87.6253308
Wrigley Field, Chicago	Grave Peril	Carpenters	NA	41.9484384	-87.6553327
Springfield, Illinois	Side Jobs	NA	NA	39.7817213	-89.6501481
Lincolnshire Marriott Resort Hotel, Lincolnshire, IL	Side Jobs	Bordens	NA	42.1967273	-87.924668
Millenium Park, Chicago	Side Jobs	NA	NA	41.8825524	-87.6225514
Bucktown, Chicago	Summer Knight	Karrin Murphy	NA	41.9227067	-87.6802748
Norman, Oklahoma	Brief Cases	Irwin Pounder	NA	35.2225668	-97.4394777
Peninsula Hotel, Chicago	Skin Game	NA	NA	41.8958895	-87.6251391
Rainbow Beach, Chicago	Fool Moon	NA	NA	41.7604872	-87.5534895
St Anthony Hospital, Chicago	Brief Cases	NA	NA	41.855415	-87.698417
United Center, Chicago	Side Jobs	NA	NA	41.8806908	-87.6741759
